Time,Bandwidth
0.000,30.9271
0.606,31.2966
1.212,31.3127
1.818,31.1647
2.424,31.1875
3.030,30.9631
3.636,30.6176
4.242,30.6915
4.848,31.3611
5.455,32.1792
6.061,33.2834
6.667,34.4023
7.273,35.2575
7.879,35.8666
8.485,36.2951
9.091,36.8026
9.697,37.0381
10.303,37.4110
10.909,38.0820
11.515,38.3432
12.121,38.8170
12.727,39.8215
13.333,40.9567
13.939,41.7197
14.545,42.8278
15.152,43.5836
15.758,44.2149
16.364,44.5418
16.970,45.4046
17.576,46.0613
18.182,46.7707
18.788,47.7060
19.394,48.2466
20.000,48.2548
20.606,47.7760
21.212,46.3305
21.818,44.4391
22.424,42.3162
23.030,40.2013
23.636,38.3808
24.242,37.3675
24.848,36.3995
25.455,35.9704
26.061,35.3444
26.667,34.7046
27.273,33.7251
27.879,32.1343
28.485,30.3722
29.091,28.6497
29.697,27.1319
30.303,25.6766
30.909,25.1785
31.515,24.2501
32.121,23.3031
32.727,22.5052
33.333,21.8634
33.939,20.3619
34.545,19.4351
35.152,18.6545
35.758,17.2850
36.364,15.7003
36.970,14.6901
37.576,14.0784
38.182,12.9258
38.788,12.2888
39.394,12.0283
40.000,11.4825
40.606,10.8802
41.212,10.8687
41.818,11.2055
42.424,11.3354
43.030,11.6136
43.636,11.9916
44.242,12.5682
44.848,13.2365
45.455,13.8617
46.061,14.6212
46.667,15.2643
47.273,15.4240
47.879,15.1726
48.485,14.9140
49.091,14.8332
49.697,14.8892
50.303,15.6304
50.909,16.5612
51.515,17.5660
52.121,18.3737
52.727,18.8965
53.333,19.2505
53.939,19.3297
54.545,19.5593
55.152,19.6165
55.758,20.2764
56.364,20.8369
56.970,21.7066
57.576,22.4173
58.182,23.6148
58.788,23.7113
59.394,23.9593
60.000,23.8473
