Time,Latency
0.000,0.2801
0.606,0.2730
1.212,0.2687
1.818,0.2562
2.424,0.2540
3.030,0.2430
3.636,0.2326
4.242,0.2384
4.848,0.2410
5.455,0.2412
6.061,0.2303
6.667,0.2306
7.273,0.2391
7.879,0.2413
8.485,0.2301
9.091,0.2332
9.697,0.2206
10.303,0.2200
10.909,0.2005
11.515,0.1897
12.121,0.1959
12.727,0.2038
13.333,0.2186
13.939,0.2042
14.545,0.2118
15.152,0.2152
15.758,0.2109
16.364,0.1973
16.970,0.1955
17.576,0.1896
18.182,0.1812
18.788,0.1472
19.394,0.1596
20.000,0.1766
20.606,0.1990
21.212,0.2099
21.818,0.2037
22.424,0.2201
23.030,0.2213
23.636,0.2337
24.242,0.2330
24.848,0.2461
25.455,0.2447
26.061,0.2402
26.667,0.2404
27.273,0.2616
27.879,0.2891
28.485,0.3098
29.091,0.3146
29.697,0.3327
30.303,0.3455
30.909,0.3493
31.515,0.3442
32.121,0.3447
32.727,0.3509
33.333,0.3711
33.939,0.3740
34.545,0.3996
35.152,0.3900
35.758,0.4203
36.364,0.4292
36.970,0.4589
37.576,0.4732
38.182,0.5005
38.788,0.5045
39.394,0.5168
40.000,0.5095
40.606,0.5301
41.212,0.5145
41.818,0.5197
42.424,0.5173
43.030,0.5139
43.636,0.4989
44.242,0.4884
44.848,0.4866
45.455,0.4834
46.061,0.4529
46.667,0.4356
47.273,0.4372
47.879,0.4498
48.485,0.4431
49.091,0.4120
49.697,0.4010
50.303,0.4121
50.909,0.4173
51.515,0.4111
52.121,0.3891
52.727,0.3846
53.333,0.3779
53.939,0.3644
54.545,0.3479
55.152,0.3409
55.758,0.3354
56.364,0.3125
56.970,0.3016
57.576,0.3120
58.182,0.3323
58.788,0.3252
59.394,0.3044
60.000,0.2939
