Model,Bandwidth,Method,JCT
Llama-3.1-8B-Instruct,5,Default(BF16),9520.54
Llama-3.1-8B-Instruct,5,CacheGen,1883.03
Llama-3.1-8B-Instruct,5,KIVI,2019.93
Llama-3.1-8B-Instruct,5,KVServe,1694.84
Llama-3.1-8B-Instruct,10,Default(BF16),4418.42
Llama-3.1-8B-Instruct,10,CacheGen,1651.68
Llama-3.1-8B-Instruct,10,KIVI,1651.75
Llama-3.1-8B-Instruct,10,KVServe,1592.76
Llama-3.1-8B-Instruct,25,Default(BF16),1998.27
Llama-3.1-8B-Instruct,25,CacheGen,1571.26
Llama-3.1-8B-Instruct,25,KIVI,1569.00
Llama-3.1-8B-Instruct,25,KVServe,1540.95
Llama-3.1-8B-Instruct,40,Default(BF16),1875.50
Llama-3.1-8B-Instruct,40,CacheGen,1556.29
Llama-3.1-8B-Instruct,40,KIVI,1522.98
Llama-3.1-8B-Instruct,40,KVServe,1517.33
Llama-3.1-8B-Instruct,50,Default(BF16),1769.55
Llama-3.1-8B-Instruct,50,CacheGen,1543.37
Llama-3.1-8B-Instruct,50,KIVI,1516.15
Llama-3.1-8B-Instruct,50,KVServe,1511.08
Llama-3.1-8B-Instruct,100,Default(BF16),1571.89
Llama-3.1-8B-Instruct,100,CacheGen,1526.19
Llama-3.1-8B-Instruct,100,KIVI,1487.31
Llama-3.1-8B-Instruct,100,KVServe,1475.98
Qwen2.5-32B-Instruct,5,Default(BF16),47227.66
Qwen2.5-32B-Instruct,5,CacheGen,7426.02
Qwen2.5-32B-Instruct,5,KIVI,10156.70
Qwen2.5-32B-Instruct,5,KVServe,5161.18
Qwen2.5-32B-Instruct,10,Default(BF16),24033.70
Qwen2.5-32B-Instruct,10,CacheGen,4847.61
Qwen2.5-32B-Instruct,10,KIVI,6097.24
Qwen2.5-32B-Instruct,10,KVServe,4511.08
Qwen2.5-32B-Instruct,25,Default(BF16),8993.68
Qwen2.5-32B-Instruct,25,CacheGen,4351.89
Qwen2.5-32B-Instruct,25,KIVI,4368.53
Qwen2.5-32B-Instruct,25,KVServe,4283.54
Qwen2.5-32B-Instruct,40,Default(BF16),6826.02
Qwen2.5-32B-Instruct,40,CacheGen,4305.16
Qwen2.5-32B-Instruct,40,KIVI,4275.98
Qwen2.5-32B-Instruct,40,KVServe,4269.53
Qwen2.5-32B-Instruct,50,Default(BF16),4934.59
Qwen2.5-32B-Instruct,50,CacheGen,4274.52
Qwen2.5-32B-Instruct,50,KIVI,4251.66
Qwen2.5-32B-Instruct,50,KVServe,4235.62
Qwen2.5-32B-Instruct,100,Default(BF16),4518.45
Qwen2.5-32B-Instruct,100,CacheGen,4229.32
Qwen2.5-32B-Instruct,100,KIVI,4220.26
Qwen2.5-32B-Instruct,100,KVServe,4215.84
