Dateset,Bandwidth,Method,JCT
2WikiMQA,1,Default(BF16),2714.60
2WikiMQA,1,CacheGen,1483.14
2WikiMQA,1,KVServe,1429.61
2WikiMQA,2,Default(BF16),1766.98
2WikiMQA,2,CacheGen,1391.05
2WikiMQA,2,KVServe,1402.60
2WikiMQA,3,Default(BF16),1573.25
2WikiMQA,3,CacheGen,1377.63
2WikiMQA,3,KVServe,1401.77
2WikiMQA,5,Default(BF16),1695.17
2WikiMQA,5,CacheGen,1479.59
2WikiMQA,5,KVServe,1383.83
2WikiMQA,8,Default(BF16),1449.98
2WikiMQA,8,CacheGen,1362.48
2WikiMQA,8,KVServe,1377.26
2WikiMQA,10,Default(BF16),1449.98
2WikiMQA,10,CacheGen,1362.48
2WikiMQA,10,KVServe,1377.26
HotpotQA,1,Default(BF16),2714.60
HotpotQA,1,CacheGen,1483.14
HotpotQA,1,KVServe,1429.61
HotpotQA,2,Default(BF16),1766.98
HotpotQA,2,CacheGen,1391.05
HotpotQA,2,KVServe,1402.60
HotpotQA,3,Default(BF16),1573.25
HotpotQA,3,CacheGen,1377.63
HotpotQA,3,KVServe,1401.77
HotpotQA,5,Default(BF16),1695.17
HotpotQA,5,CacheGen,1479.59
HotpotQA,5,KVServe,1383.83
HotpotQA,8,Default(BF16),1449.98
HotpotQA,8,CacheGen,1362.48
HotpotQA,8,KVServe,1377.26
HotpotQA,10,Default(BF16),1449.98
HotpotQA,10,CacheGen,1362.48
HotpotQA,10,KVServe,1377.26
