X,Method,Y
HotpotQA,Default(BF16),17419.53
HotpotQA,CacheGen,2041.11
HotpotQA,KIVI,2081.19
HotpotQA,KVServe,1907.80
2WikiMQA,Default(BF16),7827.97
2WikiMQA,CacheGen,1511.21
2WikiMQA,KIVI,1515.33
2WikiMQA,KVServe,1452.17
Qasper,Default(BF16),6420.92
Qasper,CacheGen,1382.52
Qasper,KIVI,1415.11
Qasper,KVServe,1363.72
Multi-News,Default(BF16),1633.28
Multi-News,CacheGen,911.94
Multi-News,KIVI,908.71
Multi-News,KVServe,804.97
HumanEval,Default(BF16),2135.52
HumanEval,CacheGen,2173.24
HumanEval,KIVI,2147.95
HumanEval,KVServe,2135.52
GSM8K,Default(BF16),357.03
GSM8K,CacheGen,368.76
GSM8K,KIVI,369.76
GSM8K,KVServe,357.03
