X,Method,Y
HotpotQA,Default(BF16),43954.64
HotpotQA,CacheGen,7583.51
HotpotQA,KIVI,8725.97
HotpotQA,KVServe,4981.51
2WikiMQA,Default(BF16),23973.67
2WikiMQA,CacheGen,4766.76
2WikiMQA,KIVI,5218.61
2WikiMQA,KVServe,4472.77
Qasper,Default(BF16),17292.12
Qasper,CacheGen,3918.31
Qasper,KIVI,4025.33
Qasper,KVServe,3701.89
Multi-News,Default(BF16),5894.74
Multi-News,CacheGen,3280.90
Multi-News,KIVI,3284.24
Multi-News,KVServe,3263.34
HumanEval,Default(BF16),5702.29
HumanEval,CacheGen,5755.69
HumanEval,KIVI,5754.87
HumanEval,KVServe,5702.29
GSM8K,Default(BF16),903.88
GSM8K,CacheGen,917.70
GSM8K,KIVI,924.06
GSM8K,KVServe,903.88
