Dateset,Bandwidth,Method,JCT
2WikiMQA,5,Default(BF16),4110.17
2WikiMQA,5,CacheGen,4110.17
2WikiMQA,5,KVServe,676.60
2WikiMQA,6,Default(BF16),4111.34
2WikiMQA,6,CacheGen,1247.13
2WikiMQA,6,KVServe,514.55
2WikiMQA,8,Default(BF16),4131.60
2WikiMQA,8,CacheGen,794.09
2WikiMQA,8,KVServe,252.07
2WikiMQA,10,Default(BF16),4140.46
2WikiMQA,10,CacheGen,746.83
2WikiMQA,10,KVServe,239.14
2WikiMQA,12,Default(BF16),4096.46
2WikiMQA,12,CacheGen,862.70
2WikiMQA,12,KVServe,159.59
2WikiMQA,15,Default(BF16),4119.52
2WikiMQA,15,CacheGen,369.17
2WikiMQA,15,KVServe,125.58
HotpotQA,5,Default(BF16),4515.45
HotpotQA,5,CacheGen,4515.45
HotpotQA,5,KVServe,1586.38
HotpotQA,6,Default(BF16),4504.19
HotpotQA,6,CacheGen,4504.19
HotpotQA,6,KVServe,1088.77
HotpotQA,8,Default(BF16),4536.65
HotpotQA,8,CacheGen,2866.25
HotpotQA,8,KVServe,998.39
HotpotQA,10,Default(BF16),4549.66
HotpotQA,10,CacheGen,2865.10
HotpotQA,10,KVServe,560.25
HotpotQA,12,Default(BF16),4504.19
HotpotQA,12,CacheGen,1962.90
HotpotQA,12,KVServe,483.05
HotpotQA,15,Default(BF16),4521.51
HotpotQA,15,CacheGen,2118.22
HotpotQA,15,KVServe,382.65
