type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0273,0.0002,0.0002,130.34,181.69
ans,2048,0.0547,0.0003,0.0003,175.94,202.85
ans,3072,0.082,0.0004,0.0004,202.53,210.88
ans,4096,0.1094,0.0005,0.0005,202.83,220.19
ans,5120,0.1367,0.0006,0.0006,246.02,221.33
ans,6144,0.1641,0.0007,0.0007,237.04,225.03
ans,7168,0.1914,0.0008,0.0008,243.21,229.54
ans,8192,0.2188,0.0009,0.001,244.96,227.3
ans,9216,0.2461,0.001,0.001,247.42,244.57
ans,10240,0.2734,0.0011,0.0011,252.85,243.59
ans,11264,0.3008,0.0013,0.0012,237.2,244.63
ans,12288,0.3281,0.0014,0.0013,228.45,243.21
ans,13312,0.3555,0.0017,0.0014,211.15,245.86
ans,14336,0.3828,0.0018,0.0016,208.59,245.49
ans,15360,0.4102,0.002,0.0017,202.76,247.07
ans,16384,0.4375,0.0021,0.0017,211.28,252.47
ans,17408,0.4648,0.0018,0.0018,259.92,255.58
ans,18432,0.4922,0.0025,0.0019,200.12,254.72
ans,19456,0.5195,0.002,0.002,263.31,255.77
ans,20480,0.5469,0.0028,0.0021,192.97,257.28
ans,21504,0.5742,0.0023,0.0023,248.78,246.68
ans,22528,0.6016,0.0025,0.0024,244.93,251.28
ans,23552,0.6289,0.0026,0.0025,237.77,251.32
ans,24576,0.6563,0.0028,0.0026,232.85,251.19
ans,25600,0.6836,0.003,0.0027,225.02,252.45
ans,26624,0.7109,0.0034,0.0028,211.21,250.85
ans,27648,0.7383,0.0035,0.0029,208.53,250.69
ans,28672,0.7656,0.0037,0.003,206.04,251.25
ans,29696,0.793,0.0036,0.0032,223.16,250.06
ans,30720,0.8203,0.0038,0.0033,217.18,249.38
ans,31744,0.8477,0.0043,0.0034,198.41,250.3
ans,32768,0.875,0.0045,0.0035,193.16,249.31
bitcomp,1024,0.0273,0.0001,0.0002,196.13,144.83
bitcomp,2048,0.0547,0.0002,0.0003,292.68,209.73
bitcomp,3072,0.082,0.0003,0.0003,313.19,244.53
bitcomp,4096,0.1094,0.0003,0.0005,328.4,238.98
bitcomp,5120,0.1367,0.0004,0.0006,350.35,240.21
bitcomp,6144,0.1641,0.0004,0.0007,403.36,251.76
bitcomp,7168,0.1914,0.0005,0.0008,374.54,250.05
bitcomp,8192,0.2188,0.0006,0.0009,384.35,252.31
bitcomp,9216,0.2461,0.0006,0.0009,424.77,264.94
bitcomp,10240,0.2734,0.0007,0.001,386.01,263.94
bitcomp,11264,0.3008,0.0007,0.0011,428.72,265.52
bitcomp,12288,0.3281,0.0008,0.0012,406.78,263.83
bitcomp,13312,0.3555,0.0009,0.0013,407.06,263.87
bitcomp,14336,0.3828,0.0009,0.0015,403.77,260.28
bitcomp,15360,0.4102,0.0011,0.0015,365.99,265.97
bitcomp,16384,0.4375,0.0012,0.0017,355.1,264.48
bitcomp,17408,0.4648,0.0013,0.0017,358.05,268.36
bitcomp,18432,0.4922,0.0015,0.0018,325.61,269.53
bitcomp,19456,0.5195,0.0017,0.0019,313.23,270.75
bitcomp,20480,0.5469,0.0018,0.002,306.58,269.4
bitcomp,21504,0.5742,0.0019,0.0021,297.47,268.81
bitcomp,22528,0.6016,0.0021,0.0023,292.09,264.14
bitcomp,23552,0.6289,0.0015,0.0023,409.9,268.27
bitcomp,24576,0.6563,0.0016,0.0024,411.38,269.83
bitcomp,25600,0.6836,0.0017,0.0025,406.24,271.14
bitcomp,26624,0.7109,0.0017,0.0026,414.51,271.17
bitcomp,27648,0.7383,0.0018,0.0027,409.18,271.21
bitcomp,28672,0.7656,0.0018,0.0028,419.37,271.15
bitcomp,29696,0.793,0.002,0.003,393.82,266.39
bitcomp,30720,0.8203,0.0022,0.0031,378.76,267.89
bitcomp,31744,0.8477,0.0023,0.0031,368.0,270.16
bitcomp,32768,0.875,0.0025,0.0033,352.31,266.55
cachegen,1024,0.0547,0.0037,0.0011,14.94,48.49
cachegen,2048,0.1094,0.0036,0.0011,30.18,97.4
cachegen,3072,0.1641,0.0037,0.0013,44.26,126.64
cachegen,4096,0.2188,0.0038,0.0016,56.83,139.62
cachegen,5120,0.2735,0.0043,0.0018,64.27,154.16
cachegen,6144,0.3281,0.0047,0.0021,70.45,159.45
cachegen,7168,0.3828,0.0051,0.0023,74.94,167.52
cachegen,8192,0.4375,0.0056,0.0026,78.15,169.69
cachegen,9216,0.4922,0.006,0.0029,81.76,171.34
cachegen,10240,0.5469,0.0064,0.0031,86.07,175.88
cachegen,11264,0.6016,0.0067,0.0034,89.31,177.3
