transform_type,heads_selection,high_key_max_value,high_value_max_value,low_key_max_value,low_value_max_value,axis_key,axis_value,cr
hadamard,0.3,12,12,6,6,"(2,)","(1, 3)",6.264
hadamard,0.3,12,12,6,4,"(2,)","(1, 3)",6.5005
hadamard,0.3,12,12,4,6,"(2,)","(1, 3)",6.4507
hadamard,0.3,12,12,4,4,"(2,)","(1, 3)",6.7018
hadamard,0.3,12,10,6,6,"(2,)","(1, 3)",6.5131
hadamard,0.3,12,10,6,4,"(2,)","(1, 3)",6.7681
hadamard,0.3,12,10,4,6,"(2,)","(1, 3)",6.7152
hadamard,0.3,12,10,4,4,"(2,)","(1, 3)",6.9866
hadamard,0.3,12,8,6,6,"(2,)","(1, 3)",6.8504
hadamard,0.3,12,8,6,4,"(2,)","(1, 3)",7.1323
hadamard,0.3,12,8,4,6,"(2,)","(1, 3)",7.0744
hadamard,0.3,12,8,4,4,"(2,)","(1, 3)",7.3754
hadamard,0.3,10,12,6,6,"(2,)","(1, 3)",6.5106
hadamard,0.3,10,12,6,4,"(2,)","(1, 3)",6.7665
hadamard,0.3,10,12,4,6,"(2,)","(1, 3)",6.7112
hadamard,0.3,10,12,4,4,"(2,)","(1, 3)",6.9834
hadamard,0.3,10,10,6,6,"(2,)","(1, 3)",6.7801
hadamard,0.3,10,10,6,4,"(2,)","(1, 3)",7.057
hadamard,0.3,10,10,4,6,"(2,)","(1, 3)",6.998
hadamard,0.3,10,10,4,4,"(2,)","(1, 3)",7.2933
hadamard,0.3,10,8,6,6,"(2,)","(1, 3)",7.1465
hadamard,0.3,10,8,6,4,"(2,)","(1, 3)",7.4538
hadamard,0.3,10,8,4,6,"(2,)","(1, 3)",7.3889
hadamard,0.3,10,8,4,4,"(2,)","(1, 3)",7.718
hadamard,0.3,8,12,6,6,"(2,)","(1, 3)",6.8433
hadamard,0.3,8,12,6,4,"(2,)","(1, 3)",7.1266
hadamard,0.3,8,12,4,6,"(2,)","(1, 3)",7.0638
hadamard,0.3,8,12,4,4,"(2,)","(1, 3)",7.3661
hadamard,0.3,8,10,6,6,"(2,)","(1, 3)",7.1418
hadamard,0.3,8,10,6,4,"(2,)","(1, 3)",7.4496
hadamard,0.3,8,10,4,6,"(2,)","(1, 3)",7.3823
hadamard,0.3,8,10,4,4,"(2,)","(1, 3)",7.7117
