type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0625,0.0006,0.0004,98.67,155.63
ans,2048,0.125,0.0009,0.0006,132.37,201.71
ans,3072,0.1875,0.0014,0.001,137.08,192.76
ans,4096,0.25,0.0019,0.0013,129.39,195.44
ans,5120,0.3125,0.0022,0.0021,144.57,150.78
ans,6144,0.375,0.0027,0.0019,136.54,202.33
ans,7168,0.4375,0.0031,0.0024,143.07,180.01
ans,8192,0.5,0.0033,0.0026,152.46,193.97
ans,9216,0.5625,0.0043,0.0026,131.8,214.92
ans,10240,0.625,0.0044,0.0029,140.83,215.09
ans,11264,0.6875,0.0054,0.0028,126.74,248.25
ans,12288,0.75,0.0057,0.0037,131.35,205.2
ans,13312,0.8125,0.0058,0.0039,139.46,206.03
ans,14336,0.875,0.0058,0.0043,150.06,205.73
ans,15360,0.9375,0.006,0.0042,156.83,221.88
ans,16384,1.0,0.0067,0.0044,149.3,225.52
ans,17408,1.0625,0.007,0.0047,151.04,228.32
ans,18432,1.125,0.0074,0.0059,151.83,191.54
ans,19456,1.1875,0.0082,0.006,145.34,198.51
ans,20480,1.25,0.0085,0.0058,146.23,216.47
ans,21504,1.3125,0.0083,0.0056,157.67,235.87
ans,22528,1.375,0.0092,0.0065,149.54,211.69
ans,23552,1.4375,0.0101,0.0063,141.89,228.58
ans,24576,1.5,0.0096,0.0063,156.71,238.86
ans,25600,1.5625,0.0103,0.0064,151.0,243.57
ans,26624,1.625,0.0135,0.0072,120.09,224.23
ans,27648,1.6875,0.0112,0.0073,151.33,231.69
ans,28672,1.75,0.0117,0.0083,149.78,211.42
ans,29696,1.8125,0.0132,0.0075,137.36,242.64
ans,30720,1.875,0.0122,0.0081,153.43,230.33
ans,31744,1.9375,0.0134,0.0082,144.37,235.73
ans,32768,2.0,0.0128,0.0088,156.43,226.96
bitcomp,1024,0.0625,0.0004,0.0003,164.55,194.74
bitcomp,2048,0.125,0.0006,0.0007,209.4,175.85
bitcomp,3072,0.1875,0.001,0.001,188.56,190.46
bitcomp,4096,0.25,0.0013,0.0012,198.35,206.38
bitcomp,5120,0.3125,0.0017,0.0016,179.62,198.62
bitcomp,6144,0.375,0.0019,0.0018,200.36,209.87
bitcomp,7168,0.4375,0.0021,0.0019,207.47,231.06
bitcomp,8192,0.5,0.0023,0.0022,216.06,227.06
bitcomp,9216,0.5625,0.0028,0.0026,201.5,213.53
bitcomp,10240,0.625,0.0031,0.0028,199.33,224.8
bitcomp,11264,0.6875,0.0033,0.003,210.72,225.82
bitcomp,12288,0.75,0.0039,0.0034,190.79,219.74
bitcomp,13312,0.8125,0.0042,0.0035,193.27,234.62
bitcomp,14336,0.875,0.0038,0.004,231.77,218.11
bitcomp,15360,0.9375,0.0043,0.0041,219.87,226.7
bitcomp,16384,1.0,0.0053,0.0045,188.38,222.53
bitcomp,17408,1.0625,0.0053,0.0044,199.7,240.87
bitcomp,18432,1.125,0.0057,0.0052,196.9,216.14
bitcomp,19456,1.1875,0.0057,0.0054,209.13,219.15
bitcomp,20480,1.25,0.0053,0.0057,237.35,218.67
bitcomp,21504,1.3125,0.0058,0.0052,227.05,251.21
bitcomp,22528,1.375,0.0061,0.0061,225.57,227.02
bitcomp,23552,1.4375,0.0064,0.0055,224.81,262.83
bitcomp,24576,1.5,0.0076,0.0064,197.16,236.13
bitcomp,25600,1.5625,0.0073,0.0066,215.44,235.01
bitcomp,26624,1.625,0.007,0.0077,230.66,212.34
bitcomp,27648,1.6875,0.0086,0.0075,195.14,224.49
bitcomp,28672,1.75,0.0078,0.0082,225.18,212.8
bitcomp,29696,1.8125,0.0086,0.0075,209.59,240.17
bitcomp,30720,1.875,0.0081,0.0076,230.44,247.52
bitcomp,31744,1.9375,0.009,0.0086,215.16,225.78
bitcomp,32768,2.0,0.0088,0.0084,227.11,238.98
cachegen,1024,0.125,0.0046,0.0014,27.33,90.0
cachegen,2048,0.25,0.0046,0.0014,54.63,177.54
cachegen,3072,0.375,0.0045,0.0016,83.02,233.9
cachegen,4096,0.5,0.0045,0.0018,110.1,271.37
cachegen,5120,0.625,0.0046,0.0022,136.17,279.7
cachegen,6144,0.75,0.0047,0.0025,160.57,300.86
cachegen,7168,0.875,0.005,0.003,174.68,292.54
cachegen,8192,1.0,0.0059,0.0034,169.74,297.39
cachegen,9216,1.125,0.0064,0.0038,176.78,300.0
cachegen,10240,1.25,0.0067,0.0042,185.89,297.52
cachegen,11264,1.375,0.0075,0.0044,184.44,311.8
cachegen,12288,1.5,0.0079,0.0048,190.2,312.69
cachegen,13312,1.625,0.0085,0.0051,191.86,316.75
cachegen,14336,1.75,0.009,0.0055,193.79,317.4
cachegen,15360,1.875,0.0094,0.0059,199.86,317.37
cachegen,16384,2.0,0.0101,0.0062,197.84,323.95
cachegen,17408,2.125,0.0106,0.0066,201.01,321.43
cachegen,18432,2.25,0.0109,0.007,205.99,323.28
cachegen,19456,2.375,0.0116,0.0072,204.58,328.28
cachegen,20480,2.5,0.012,0.0076,208.87,327.3
cachegen,21504,2.625,0.0126,0.008,208.07,327.95
cachegen,22528,2.75,0.0131,0.0084,209.52,328.24
cachegen,23552,2.875,0.0135,0.0089,212.32,322.07
cachegen,24576,3.0,0.0143,0.0092,210.11,324.93
cachegen,25600,3.125,0.0151,0.0104,206.45,299.59
cachegen,26624,3.25,0.016,0.0122,203.56,266.76
cachegen,27648,3.375,0.0166,0.013,203.48,258.9
cachegen,28672,3.5,0.0173,0.0138,202.4,252.9
cachegen,29696,3.625,0.0181,0.0146,200.64,247.54
cachegen,30720,3.75,0.0189,0.0153,198.91,244.42
cachegen,31744,3.875,0.0197,0.0161,197.2,241.03
cachegen,32768,4.0,0.0205,0.0169,195.56,236.81
hadamard,1024,0.125,0.0031,0.0025,40.27,49.58
hadamard,2048,0.25,0.0032,0.0026,78.67,96.57
hadamard,3072,0.375,0.0031,0.0025,122.17,152.68
hadamard,4096,0.5,0.0031,0.0025,163.69,202.16
hadamard,5120,0.625,0.0031,0.0025,204.64,251.48
hadamard,6144,0.75,0.0036,0.0027,209.4,275.23
hadamard,7168,0.875,0.0042,0.0031,206.05,285.83
hadamard,8192,1.0,0.0049,0.0036,205.25,280.6
hadamard,9216,1.125,0.0055,0.004,203.33,284.73
hadamard,10240,1.25,0.0061,0.0044,204.68,284.82
hadamard,11264,1.375,0.0067,0.0047,205.39,290.16
hadamard,12288,1.5,0.0074,0.0051,203.86,292.28
hadamard,13312,1.625,0.0125,0.0058,130.11,280.36
hadamard,14336,1.75,0.0085,0.006,205.18,290.58
hadamard,15360,1.875,0.0091,0.0063,205.95,295.35
hadamard,16384,2.0,0.0097,0.0068,206.83,292.79
hadamard,17408,2.125,0.0104,0.0074,204.78,286.19
hadamard,18432,2.25,0.011,0.0076,205.36,295.4
hadamard,19456,2.375,0.0117,0.008,202.58,296.11
hadamard,20480,2.5,0.0125,0.0084,200.51,296.15
hadamard,21504,2.625,0.0132,0.0088,199.6,298.22
hadamard,22528,2.75,0.0139,0.0093,197.18,294.45
hadamard,23552,2.875,0.0147,0.0097,195.68,295.94
hadamard,24576,3.0,0.0155,0.0101,193.25,297.26
hadamard,25600,3.125,0.0162,0.011,193.23,283.14
hadamard,26624,3.25,0.017,0.0116,191.32,279.63
hadamard,27648,3.375,0.0181,0.0124,186.53,272.01
hadamard,28672,3.5,0.0189,0.0131,185.67,266.21
hadamard,29696,3.625,0.0199,0.0141,181.77,256.68
hadamard,30720,3.75,0.0207,0.0151,180.95,248.02
hadamard,31744,3.875,0.0219,0.0161,176.99,241.11
hadamard,32768,4.0,0.0231,0.0173,172.92,231.51
quantizer,1024,0.125,0.0083,0.0026,15.0,47.29
quantizer,2048,0.25,0.0088,0.0027,28.43,94.26
quantizer,3072,0.375,0.0088,0.0027,42.52,139.97
quantizer,4096,0.5,0.0088,0.0027,56.67,186.55
quantizer,5120,0.625,0.0088,0.0027,70.83,229.71
quantizer,6144,0.75,0.0088,0.003,84.76,249.31
quantizer,7168,0.875,0.0088,0.0034,99.81,261.09
quantizer,8192,1.0,0.0088,0.0038,114.16,264.11
quantizer,9216,1.125,0.009,0.0041,124.5,273.66
quantizer,10240,1.25,0.0095,0.0044,131.47,281.04
quantizer,11264,1.375,0.0101,0.0046,135.8,298.78
quantizer,12288,1.5,0.0109,0.0052,137.57,286.5
quantizer,13312,1.625,0.0113,0.0054,143.3,300.3
quantizer,14336,1.75,0.0121,0.0058,144.72,301.97
quantizer,15360,1.875,0.0127,0.0062,147.48,304.25
quantizer,16384,2.0,0.0134,0.0066,149.29,304.43
quantizer,17408,2.125,0.014,0.0069,151.7,306.84
quantizer,18432,2.25,0.0146,0.0073,153.84,309.29
quantizer,19456,2.375,0.0153,0.0077,155.37,309.71
quantizer,20480,2.5,0.0159,0.008,157.37,311.09
quantizer,21504,2.625,0.0166,0.0084,157.98,312.6
quantizer,22528,2.75,0.0172,0.0088,159.69,312.61
quantizer,23552,2.875,0.0177,0.0092,162.51,312.77
quantizer,24576,3.0,0.0185,0.0096,162.46,313.68
quantizer,25600,3.125,0.019,0.01,164.16,312.36
quantizer,26624,3.25,0.0197,0.0105,164.88,310.42
quantizer,27648,3.375,0.0204,0.0109,165.18,311.01
quantizer,28672,3.5,0.021,0.0114,166.42,308.34
quantizer,29696,3.625,0.0217,0.0118,167.31,306.72
quantizer,30720,3.75,0.0224,0.0123,167.36,304.91
quantizer,31744,3.875,0.0229,0.0128,169.22,303.73
quantizer,32768,4.0,0.0237,0.0133,169.07,300.7
