type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0273,0.0004,0.0002,71.77,171.74
ans,2048,0.0547,0.0003,0.0003,159.79,199.43
ans,3072,0.082,0.0005,0.0005,176.82,150.44
ans,4096,0.1094,0.0007,0.0007,149.12,156.12
ans,5120,0.1367,0.0011,0.0006,118.89,221.9
ans,6144,0.1641,0.0011,0.0009,143.96,187.1
ans,7168,0.1914,0.0013,0.001,152.13,185.99
ans,8192,0.2188,0.0016,0.0012,132.6,186.02
ans,9216,0.2461,0.0018,0.0014,140.29,179.26
ans,10240,0.2734,0.0017,0.0013,157.53,205.24
ans,11264,0.3008,0.0021,0.0012,140.32,244.24
ans,12288,0.3281,0.0022,0.0016,147.5,211.11
ans,13312,0.3555,0.0026,0.0018,137.99,202.49
ans,14336,0.3828,0.0028,0.0021,135.76,182.96
ans,15360,0.4102,0.0028,0.0022,147.71,187.97
ans,16384,0.4375,0.0031,0.0022,138.89,194.72
ans,17408,0.4648,0.0032,0.0019,146.16,239.75
ans,18432,0.4922,0.0035,0.0026,142.02,192.42
ans,19456,0.5195,0.0036,0.0024,143.16,217.7
ans,20480,0.5469,0.0037,0.0025,147.39,222.11
ans,21504,0.5742,0.0045,0.0027,126.8,215.75
ans,22528,0.6016,0.0039,0.0027,152.95,219.9
ans,23552,0.6289,0.0043,0.0028,146.94,226.59
ans,24576,0.6563,0.0045,0.003,146.7,217.05
ans,25600,0.6836,0.0046,0.0028,149.89,240.4
ans,26624,0.7109,0.0051,0.0034,140.75,210.01
ans,27648,0.7383,0.0053,0.004,140.48,184.63
ans,28672,0.7656,0.0056,0.0033,137.93,235.39
ans,29696,0.793,0.0055,0.004,145.14,200.49
ans,30720,0.8203,0.0056,0.0037,145.79,220.43
ans,31744,0.8477,0.0056,0.0037,151.35,226.71
ans,32768,0.875,0.0062,0.0048,140.59,182.27
bitcomp,1024,0.0273,0.0001,0.0001,286.37,209.15
bitcomp,2048,0.0547,0.0002,0.0003,263.15,166.21
bitcomp,3072,0.082,0.0006,0.0005,146.48,175.8
bitcomp,4096,0.1094,0.0006,0.0005,179.49,242.26
bitcomp,5120,0.1367,0.0006,0.0007,221.49,191.62
bitcomp,6144,0.1641,0.0009,0.0007,176.61,222.67
bitcomp,7168,0.1914,0.0009,0.0011,221.21,172.51
bitcomp,8192,0.2188,0.0009,0.0011,236.78,190.33
bitcomp,9216,0.2461,0.0011,0.0011,225.29,216.52
bitcomp,10240,0.2734,0.0012,0.0015,220.3,181.1
bitcomp,11264,0.3008,0.0014,0.0015,221.19,196.85
bitcomp,12288,0.3281,0.0016,0.0014,205.92,236.82
bitcomp,13312,0.3555,0.0017,0.002,209.83,174.48
bitcomp,14336,0.3828,0.0019,0.0021,204.75,181.98
bitcomp,15360,0.4102,0.002,0.0021,207.96,194.41
bitcomp,16384,0.4375,0.0018,0.002,238.16,220.57
bitcomp,17408,0.4648,0.0019,0.0019,240.57,244.79
bitcomp,18432,0.4922,0.0021,0.0022,228.97,225.2
bitcomp,19456,0.5195,0.0025,0.0025,208.3,208.95
bitcomp,20480,0.5469,0.0028,0.0025,191.93,214.77
bitcomp,21504,0.5742,0.0028,0.0028,206.97,205.05
bitcomp,22528,0.6016,0.0027,0.003,223.61,200.31
bitcomp,23552,0.6289,0.003,0.0032,211.76,198.59
bitcomp,24576,0.6563,0.0028,0.003,237.83,221.04
bitcomp,25600,0.6836,0.0028,0.0035,246.59,193.67
bitcomp,26624,0.7109,0.0032,0.0031,221.64,226.9
bitcomp,27648,0.7383,0.0034,0.0036,219.75,206.96
bitcomp,28672,0.7656,0.0038,0.0038,203.59,199.75
bitcomp,29696,0.793,0.0039,0.0033,204.94,237.66
bitcomp,30720,0.8203,0.0036,0.0037,230.91,220.53
bitcomp,31744,0.8477,0.004,0.0041,209.59,204.95
bitcomp,32768,0.875,0.0041,0.0036,215.31,244.12
cachegen,1024,0.0547,0.004,0.0012,13.66,44.43
