type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.125,0.0007,0.0005,191.78,251.35
ans,2048,0.25,0.0013,0.0009,196.53,291.96
ans,3072,0.375,0.0019,0.0012,195.86,316.87
ans,4096,0.5,0.0025,0.0015,198.65,322.75
ans,5120,0.625,0.0032,0.0018,197.32,338.52
ans,6144,0.75,0.0037,0.0022,200.74,337.1
ans,7168,0.875,0.0044,0.0025,200.35,344.11
ans,8192,1.0,0.0049,0.0029,202.33,350.48
ans,9216,1.125,0.0056,0.0032,201.49,348.41
ans,10240,1.25,0.0062,0.0036,202.79,348.64
ans,11264,1.375,0.0068,0.0043,203.24,323.52
ans,12288,1.5,0.0074,0.0043,201.94,350.18
ans,13312,1.625,0.0081,0.0047,201.58,346.73
ans,14336,1.75,0.0087,0.005,202.16,352.23
ans,15360,1.875,0.0093,0.0053,200.99,351.26
ans,16384,2.0,0.0099,0.0056,202.44,356.44
ans,17408,2.125,0.0105,0.006,201.95,354.54
ans,18432,2.25,0.0112,0.0063,201.37,355.4
ans,19456,2.375,0.0118,0.0067,201.74,355.38
ans,20480,2.5,0.0124,0.007,201.06,355.09
ans,21504,2.625,0.013,0.0074,201.5,356.25
ans,22528,2.75,0.0135,0.0076,203.35,360.7
ans,23552,2.875,0.0143,0.008,201.5,357.14
ans,24576,3.0,0.015,0.0084,200.66,358.69
ans,25600,3.125,0.0155,0.0087,201.27,360.58
ans,26624,3.25,0.0162,0.009,201.03,360.06
ans,27648,3.375,0.0168,0.0093,201.3,362.23
ans,28672,3.5,0.0174,0.0098,200.6,358.81
ans,29696,3.625,0.018,0.01,201.87,363.26
ans,30720,3.75,0.0187,0.0104,200.97,360.02
ans,31744,3.875,0.0192,0.0107,202.06,363.45
ans,32768,4.0,0.0199,0.0112,200.99,358.4
bitcomp,1024,0.125,0.0004,0.0005,283.02,245.51
bitcomp,2048,0.25,0.0008,0.0009,299.78,290.36
bitcomp,3072,0.375,0.0012,0.0012,308.51,303.28
bitcomp,4096,0.5,0.0016,0.0016,306.89,310.43
bitcomp,5120,0.625,0.002,0.002,313.82,314.88
bitcomp,6144,0.75,0.0024,0.0024,309.29,315.5
bitcomp,7168,0.875,0.0027,0.0027,318.5,323.74
bitcomp,8192,1.0,0.0032,0.0031,312.05,323.81
bitcomp,9216,1.125,0.0036,0.0035,315.67,325.45
bitcomp,10240,1.25,0.004,0.0038,314.66,325.79
bitcomp,11264,1.375,0.0043,0.0042,318.66,327.2
bitcomp,12288,1.5,0.0048,0.0046,315.61,326.48
bitcomp,13312,1.625,0.0051,0.0049,319.58,331.71
bitcomp,14336,1.75,0.0055,0.0053,317.26,329.54
bitcomp,15360,1.875,0.0059,0.0057,318.86,331.07
bitcomp,16384,2.0,0.0063,0.0061,317.4,327.92
bitcomp,17408,2.125,0.0067,0.0064,318.49,330.23
bitcomp,18432,2.25,0.0071,0.0068,318.02,330.11
bitcomp,19456,2.375,0.0075,0.0072,317.85,329.43
bitcomp,20480,2.5,0.0079,0.0076,317.22,330.36
bitcomp,21504,2.625,0.0082,0.0079,318.25,330.92
bitcomp,22528,2.75,0.0087,0.0083,317.83,330.81
bitcomp,23552,2.875,0.009,0.0087,319.67,331.92
bitcomp,24576,3.0,0.0094,0.009,319.43,332.0
bitcomp,25600,3.125,0.0098,0.0094,318.8,333.48
bitcomp,26624,3.25,0.0103,0.0098,316.1,331.4
bitcomp,27648,3.375,0.0106,0.0102,318.35,331.11
bitcomp,28672,3.5,0.011,0.0106,316.97,330.5
bitcomp,29696,3.625,0.0114,0.011,316.81,330.5
bitcomp,30720,3.75,0.0118,0.0113,318.63,332.34
bitcomp,31744,3.875,0.0122,0.0117,317.49,331.59
bitcomp,32768,4.0,0.0126,0.0121,318.21,331.72
cachegen,1024,0.25,0.0066,0.0019,38.07,128.89
cachegen,2048,0.5,0.0065,0.0026,77.03,189.97
cachegen,3072,0.75,0.0073,0.0034,103.38,219.56
cachegen,4096,1.0,0.008,0.0039,125.11,253.53
cachegen,5120,1.25,0.0093,0.0045,134.03,279.35
cachegen,6144,1.5,0.0102,0.0051,147.57,294.15
cachegen,7168,1.75,0.011,0.0058,158.94,301.81
cachegen,8192,2.0,0.0121,0.0065,165.66,309.51
cachegen,9216,2.25,0.0134,0.0075,167.66,299.19
cachegen,10240,2.5,0.0143,0.0085,175.43,294.57
cachegen,11264,2.75,0.015,0.0097,183.52,284.48
cachegen,12288,3.0,0.0166,0.0103,180.88,292.37
cachegen,13312,3.25,0.0174,0.0112,186.57,290.02
cachegen,14336,3.5,0.0185,0.0119,189.07,293.14
cachegen,15360,3.75,0.0198,0.0125,188.95,300.37
cachegen,16384,4.0,0.0208,0.0132,192.27,302.17
cachegen,17408,4.25,0.0217,0.0141,196.13,302.34
cachegen,18432,4.5,0.023,0.0147,195.82,305.94
cachegen,19456,4.75,0.0241,0.0156,197.21,304.69
cachegen,20480,5.0,0.0247,0.0162,202.52,307.98
cachegen,21504,5.25,0.0256,0.0169,205.24,310.1
cachegen,22528,5.5,0.0266,0.0178,206.59,309.58
cachegen,23552,5.75,0.0277,0.0185,207.8,310.89
cachegen,24576,6.0,0.0283,0.0193,212.29,311.02
cachegen,25600,6.25,0.0294,0.02,212.82,311.79
cachegen,26624,6.5,0.0304,0.0208,213.53,312.16
cachegen,27648,6.75,0.0318,0.0215,212.37,313.57
cachegen,28672,7.0,0.0326,0.0222,215.01,315.59
cachegen,29696,7.25,0.0341,0.0229,212.9,316.18
cachegen,30720,7.5,0.0355,0.0239,211.33,313.61
cachegen,31744,7.75,0.0362,0.0249,214.1,311.73
cachegen,32768,8.0,0.0378,0.0272,211.37,293.6
hadamard,1024,0.25,0.0055,0.0043,45.36,58.2
hadamard,2048,0.5,0.0054,0.0044,92.92,113.95
hadamard,3072,0.75,0.0056,0.0045,132.83,165.27
hadamard,4096,1.0,0.0057,0.0046,176.33,219.28
hadamard,5120,1.25,0.0069,0.0053,181.99,233.78
hadamard,6144,1.5,0.0079,0.0062,189.34,240.41
hadamard,7168,1.75,0.0089,0.0068,196.17,255.49
hadamard,8192,2.0,0.0102,0.0076,195.44,261.66
hadamard,9216,2.25,0.0113,0.0084,199.08,267.19
hadamard,10240,2.5,0.0128,0.0092,194.99,270.45
hadamard,11264,2.75,0.0144,0.0101,191.2,271.38
hadamard,12288,3.0,0.0155,0.011,193.65,273.51
hadamard,13312,3.25,0.0167,0.0118,194.51,276.21
hadamard,14336,3.5,0.0181,0.0127,193.38,274.6
hadamard,15360,3.75,0.0192,0.0136,195.4,275.67
hadamard,16384,4.0,0.0205,0.0144,195.15,277.13
hadamard,17408,4.25,0.0219,0.0152,193.68,279.45
hadamard,18432,4.5,0.0232,0.0162,194.02,277.9
hadamard,19456,4.75,0.0246,0.0171,193.07,278.31
hadamard,20480,5.0,0.026,0.0178,192.52,280.59
hadamard,21504,5.25,0.0275,0.0189,190.68,277.49
hadamard,22528,5.5,0.029,0.0197,189.87,278.57
hadamard,23552,5.75,0.0305,0.0205,188.56,280.59
hadamard,24576,6.0,0.032,0.0216,187.52,278.34
