type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0625,0.0004,0.0003,159.95,220.96
ans,2048,0.125,0.0008,0.0005,150.43,232.42
ans,3072,0.1875,0.0013,0.0008,142.37,237.99
ans,4096,0.25,0.0017,0.001,145.27,244.68
ans,5120,0.3125,0.0021,0.0012,146.27,253.15
ans,6144,0.375,0.0026,0.0015,145.55,255.19
ans,7168,0.4375,0.003,0.0017,145.37,258.42
ans,8192,0.5,0.0033,0.0018,150.91,271.24
ans,9216,0.5625,0.0038,0.0021,146.35,263.29
ans,10240,0.625,0.0042,0.0024,147.3,264.52
ans,11264,0.6875,0.0045,0.0025,152.41,273.99
ans,12288,0.75,0.0049,0.0027,152.09,274.89
ans,13312,0.8125,0.0054,0.003,151.83,275.37
ans,14336,0.875,0.0058,0.0032,151.52,276.29
ans,15360,0.9375,0.0063,0.0035,148.58,267.58
ans,16384,1.0,0.0066,0.0036,152.19,277.47
ans,17408,1.0625,0.007,0.0038,151.73,277.26
ans,18432,1.125,0.0074,0.0041,151.08,277.7
ans,19456,1.1875,0.0078,0.0043,153.01,278.06
ans,20480,1.25,0.0083,0.0045,151.51,277.48
ans,21504,1.3125,0.0086,0.0047,152.33,278.16
ans,22528,1.375,0.009,0.0049,152.44,279.05
ans,23552,1.4375,0.0094,0.0052,152.22,278.37
ans,24576,1.5,0.0099,0.0054,152.0,278.07
ans,25600,1.5625,0.0105,0.0058,148.37,269.94
ans,26624,1.625,0.0107,0.0058,152.22,279.25
ans,27648,1.6875,0.0114,0.0063,148.06,268.54
ans,28672,1.75,0.0115,0.0063,151.52,279.08
ans,29696,1.8125,0.012,0.0065,151.46,277.02
ans,30720,1.875,0.0123,0.0068,152.05,277.0
ans,31744,OOM,OOM,OOM,OOM,OOM
ans,32768,OOM,OOM,OOM,OOM,OOM
bitcomp,1024,0.0625,0.0003,0.0003,244.18,243.41
bitcomp,2048,0.125,0.0005,0.0005,233.11,245.85
bitcomp,3072,0.1875,0.0008,0.0007,237.87,283.36
bitcomp,4096,0.25,0.001,0.0009,239.71,289.04
bitcomp,5120,0.3125,0.0013,0.0011,237.94,297.36
bitcomp,6144,0.375,0.0015,0.0013,243.05,299.59
bitcomp,7168,0.4375,0.0019,0.0015,236.04,291.13
bitcomp,8192,0.5,0.0021,0.0017,242.09,302.96
bitcomp,9216,0.5625,0.0023,0.0018,243.04,305.51
bitcomp,10240,0.625,0.0026,0.0021,237.37,293.75
bitcomp,11264,0.6875,0.0029,0.0023,236.86,297.3
bitcomp,12288,0.75,0.0031,0.0024,244.25,309.91
bitcomp,13312,0.8125,0.0033,0.0026,244.4,310.76
bitcomp,14336,0.875,0.0036,0.0028,245.1,312.28
bitcomp,15360,0.9375,0.0038,0.003,245.52,311.97
bitcomp,16384,1.0,0.0041,0.0032,244.17,312.04
bitcomp,17408,1.0625,0.0043,0.0034,244.31,312.9
bitcomp,18432,1.125,0.0046,0.0036,244.38,312.33
bitcomp,19456,1.1875,0.0048,0.0038,245.09,308.8
bitcomp,20480,1.25,0.0051,0.004,244.73,313.02
bitcomp,21504,1.3125,0.0055,0.0044,237.59,300.52
bitcomp,22528,1.375,0.0056,0.0044,244.7,312.95
bitcomp,23552,1.4375,0.0059,0.0046,244.89,314.59
bitcomp,24576,1.5,0.0062,0.0048,243.7,311.93
bitcomp,25600,1.5625,0.0064,0.005,245.35,314.27
bitcomp,26624,1.625,0.0066,0.0052,244.53,314.2
bitcomp,27648,1.6875,0.0069,0.0054,244.43,313.02
bitcomp,28672,1.75,0.0072,0.0056,243.33,312.04
bitcomp,29696,1.8125,0.0074,0.0058,243.71,312.99
bitcomp,30720,1.875,0.0077,0.006,243.68,313.0
bitcomp,31744,1.9375,0.0081,0.0064,238.21,303.63
bitcomp,32768,2.0,0.0082,0.0063,245.21,315.72
cachegen,1024,0.125,0.0074,0.0021,16.99,58.21
cachegen,2048,0.25,0.0075,0.0022,33.13,113.1
cachegen,3072,0.375,0.0107,0.0033,35.04,114.07
cachegen,4096,0.5,0.0109,0.0033,45.71,149.58
cachegen,5120,0.625,0.0109,0.0033,57.44,190.11
cachegen,6144,0.75,0.0075,0.0031,99.83,241.75
cachegen,7168,0.875,0.0075,0.0038,116.74,229.5
cachegen,8192,1.0,0.0074,0.0044,135.98,228.13
cachegen,9216,1.125,0.011,0.005,102.51,224.84
cachegen,10240,1.25,0.0085,0.0056,147.79,224.46
cachegen,11264,1.375,0.0091,0.0061,151.86,225.27
cachegen,12288,1.5,0.0109,0.0066,137.86,226.45
cachegen,13312,1.625,0.0103,0.0071,157.04,227.36
cachegen,14336,1.75,0.0111,0.0077,158.26,228.23
cachegen,15360,1.875,0.0118,0.0082,159.53,229.09
cachegen,16384,2.0,0.0126,0.0087,158.83,230.07
cachegen,17408,2.125,0.0136,0.0093,156.59,228.71
