type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0273,0.0002,0.0001,165.43,208.28
ans,2048,0.0547,0.0004,0.0003,144.03,203.71
ans,3072,0.082,0.0005,0.0004,153.79,206.45
ans,4096,0.1094,0.0007,0.0005,153.04,236.58
ans,5120,0.1367,0.0009,0.0006,152.0,234.0
ans,6144,0.1641,0.0011,0.0007,143.23,234.67
ans,7168,0.1914,0.0013,0.0008,144.64,251.83
ans,8192,0.2188,0.0015,0.0009,148.65,252.43
ans,9216,0.2461,0.0017,0.0009,147.46,263.99
ans,10240,0.2734,0.0018,0.001,149.92,267.24
ans,11264,0.3008,0.002,0.0011,148.15,267.97
ans,12288,0.3281,0.0023,0.0013,143.2,258.39
ans,13312,0.3555,0.0024,0.0013,148.63,265.8
ans,14336,0.3828,0.0026,0.0014,149.2,266.19
ans,15360,0.4102,0.0027,0.0015,149.68,267.13
ans,16384,0.4375,0.003,0.0016,148.2,269.8
ans,17408,0.4648,0.0031,0.0017,148.93,275.28
ans,18432,0.4922,0.0033,0.0018,149.64,275.52
ans,19456,0.5195,0.0035,0.0019,150.27,275.1
ans,20480,0.5469,0.0037,0.0021,147.18,265.3
ans,21504,0.5742,0.0038,0.0021,149.41,274.79
ans,22528,0.6016,0.004,0.0022,150.33,274.89
ans,23552,0.6289,0.0042,0.0023,150.82,274.97
ans,24576,0.6563,0.0045,0.0025,146.28,263.93
ans,25600,0.6836,0.0045,0.0025,151.33,277.74
ans,26624,0.7109,0.0047,0.0026,149.89,276.36
ans,27648,0.7383,0.005,0.0028,147.11,267.26
ans,28672,0.7656,0.0051,0.0028,151.15,276.76
ans,29696,0.793,0.0052,0.0029,151.12,276.48
ans,30720,0.8203,0.0054,0.003,151.72,276.95
ans,31744,0.8477,0.0057,0.0032,147.82,264.79
ans,32768,0.875,0.0058,0.0032,151.38,276.95
bitcomp,1024,0.0273,0.0002,0.0002,160.8,145.83
bitcomp,2048,0.0547,0.0002,0.0002,318.87,288.49
bitcomp,3072,0.082,0.0003,0.0003,259.45,264.09
bitcomp,4096,0.1094,0.0005,0.0004,243.01,276.06
bitcomp,5120,0.1367,0.0006,0.0005,238.43,278.13
bitcomp,6144,0.1641,0.0007,0.0006,237.53,279.69
bitcomp,7168,0.1914,0.0008,0.0007,232.09,275.27
bitcomp,8192,0.2188,0.0009,0.0008,238.26,286.77
bitcomp,9216,0.2461,0.001,0.0008,234.73,293.66
bitcomp,10240,0.2734,0.0011,0.0009,241.49,304.26
bitcomp,11264,0.3008,0.0012,0.001,244.91,302.66
bitcomp,12288,0.3281,0.0013,0.0011,245.3,304.12
bitcomp,13312,0.3555,0.0015,0.0012,236.9,292.01
bitcomp,14336,0.3828,0.0016,0.0013,243.93,302.34
bitcomp,15360,0.4102,0.0018,0.0014,226.99,291.54
bitcomp,16384,0.4375,0.0018,0.0014,242.36,302.7
bitcomp,17408,0.4648,0.0019,0.0015,241.67,301.14
bitcomp,18432,0.4922,0.002,0.0016,246.26,308.46
bitcomp,19456,0.5195,0.0021,0.0017,245.02,307.36
bitcomp,20480,0.5469,0.0023,0.0018,239.87,308.39
bitcomp,21504,0.5742,0.0024,0.0019,236.71,296.29
bitcomp,22528,0.6016,0.0025,0.002,237.08,295.36
bitcomp,23552,0.6289,0.0026,0.002,243.73,308.4
bitcomp,24576,0.6563,0.0027,0.0021,243.37,307.43
bitcomp,25600,0.6836,0.0028,0.0022,246.81,312.93
bitcomp,26624,0.7109,0.0029,0.0023,246.24,311.95
bitcomp,27648,0.7383,0.003,0.0024,245.95,313.58
bitcomp,28672,0.7656,0.0031,0.0025,244.57,311.91
bitcomp,29696,0.793,0.0032,0.0025,245.5,311.2
bitcomp,30720,0.8203,0.0033,0.0026,245.05,312.77
bitcomp,31744,0.8477,0.0035,0.0027,243.87,310.94
bitcomp,32768,0.875,0.0036,0.0028,244.47,311.16
cachegen,1024,0.0547,0.0065,0.0019,8.48,29.21
cachegen,2048,0.1094,0.0064,0.0019,17.07,57.84
cachegen,3072,0.1641,0.0064,0.0019,25.49,87.35
cachegen,4096,0.2188,0.0095,0.0029,22.97,76.19
cachegen,5120,0.2735,0.0064,0.0019,42.46,143.82
cachegen,6144,0.3281,0.0094,0.0029,34.81,113.61
cachegen,7168,0.3828,0.0094,0.0029,40.6,132.39
cachegen,8192,0.4375,0.0065,0.0019,67.2,231.71
cachegen,9216,0.4922,0.0096,0.0029,51.32,170.1
cachegen,10240,0.5469,0.0065,0.0021,84.24,257.36
cachegen,11264,0.6016,0.0065,0.0024,92.33,251.6
cachegen,12288,0.6563,0.0066,0.0027,99.68,242.23
cachegen,13312,0.711,0.0095,0.0031,74.71,232.72
cachegen,14336,0.7656,0.0095,0.0033,80.4,230.41
cachegen,15360,0.8203,0.0065,0.0036,125.67,229.81
cachegen,16384,0.875,0.0065,0.0038,135.58,229.06
cachegen,17408,0.9297,0.0097,0.0041,95.61,225.5
cachegen,18432,0.9844,0.0095,0.0043,103.86,226.72
cachegen,19456,1.0391,0.0075,0.0046,138.88,225.65
cachegen,20480,1.0938,0.0095,0.0049,115.32,224.91
cachegen,21504,1.1485,0.0095,0.0051,121.08,225.85
cachegen,22528,1.2031,0.0083,0.0053,144.77,226.14
cachegen,23552,1.2578,0.0087,0.0055,145.04,227.16
cachegen,24576,1.3125,0.0089,0.0058,147.07,227.53
cachegen,25600,1.3672,0.0125,0.0153,109.47,89.37
cachegen,26624,1.4219,0.0095,0.0062,149.85,228.06
cachegen,27648,1.4766,0.0098,0.0065,150.55,228.79
cachegen,28672,1.5313,0.0101,0.0067,151.98,229.24
cachegen,29696,1.586,0.0104,0.0069,151.98,229.72
cachegen,30720,1.6406,0.0108,0.0071,152.13,229.98
cachegen,31744,1.6953,0.0111,0.0074,152.13,230.53
cachegen,32768,1.75,0.0115,0.0076,151.71,230.12
hadamard,1024,0.0547,0.0057,0.0046,9.61,11.92
hadamard,2048,0.1094,0.0074,0.006,14.83,18.09
hadamard,3072,0.1641,0.0074,0.006,22.12,27.21
hadamard,4096,0.2188,0.0057,0.0047,38.69,46.94
hadamard,5120,0.2735,0.0057,0.0046,47.73,58.88
hadamard,6144,0.3281,0.0057,0.0047,57.2,69.81
hadamard,7168,0.3828,0.0074,0.006,51.67,63.6
hadamard,8192,0.4375,0.0074,0.006,58.95,73.05
hadamard,9216,0.4922,0.0057,0.0047,85.92,105.77
hadamard,10240,0.5469,0.0056,0.0045,98.52,120.32
hadamard,11264,0.6016,0.0056,0.0046,107.1,131.42
hadamard,12288,0.6563,0.0073,0.0059,90.44,111.27
hadamard,13312,0.711,0.0073,0.0059,97.88,120.85
hadamard,14336,0.7656,0.0056,0.0046,135.81,167.81
hadamard,15360,0.8203,0.0057,0.0046,145.07,177.89
hadamard,16384,0.875,0.0057,0.0046,153.27,189.0
hadamard,17408,0.9297,0.0056,0.0045,165.44,204.34
hadamard,18432,0.9844,0.0074,0.006,133.75,164.25
hadamard,19456,1.0391,0.0062,0.0047,167.55,222.63
hadamard,20480,1.0938,0.0073,0.0059,149.95,185.08
hadamard,21504,1.1485,0.0068,0.0046,168.5,250.66
hadamard,22528,1.2031,0.0073,0.006,163.95,201.69
hadamard,23552,1.2578,0.0075,0.005,168.81,253.0
hadamard,24576,1.3125,0.0078,0.0052,167.41,253.93
hadamard,25600,1.3672,0.0082,0.006,166.75,228.64
hadamard,26624,1.4219,0.0086,0.0056,166.06,251.73
hadamard,27648,1.4766,0.009,0.0059,163.49,248.45
hadamard,28672,1.5313,0.0094,0.0062,162.17,247.12
hadamard,29696,1.586,0.0099,0.0065,160.47,243.89
hadamard,30720,1.6406,0.0104,0.0068,157.76,241.22
hadamard,31744,1.6953,0.0109,0.0071,155.85,237.84
hadamard,32768,1.75,0.0114,0.0074,153.83,236.41
quantizer,1024,0.0547,0.017,0.0053,3.22,10.38
quantizer,2048,0.1094,0.0116,0.0034,9.41,31.84
quantizer,3072,0.1641,0.0116,0.0034,14.1,48.92
quantizer,4096,0.2188,0.0169,0.0052,12.94,41.7
quantizer,5120,0.2735,0.0116,0.0034,23.54,80.63
quantizer,6144,0.3281,0.0116,0.0034,28.19,97.4
quantizer,7168,0.3828,0.0115,0.0034,33.18,112.49
quantizer,8192,0.4375,0.0116,0.0034,37.64,128.09
quantizer,9216,0.4922,0.0169,0.0052,29.15,93.76
quantizer,10240,0.5469,0.0114,0.0034,47.86,161.92
quantizer,11264,0.6016,0.0169,0.0052,35.53,114.72
quantizer,12288,0.6563,0.0119,0.0035,54.96,186.76
quantizer,13312,0.711,0.0116,0.0034,61.34,206.54
quantizer,14336,0.7656,0.0172,0.0053,44.63,144.18
quantizer,15360,0.8203,0.0118,0.0035,69.46,232.41
quantizer,16384,0.875,0.0118,0.0037,74.11,236.48
quantizer,17408,0.9297,0.0117,0.0039,79.74,236.47
quantizer,18432,0.9844,0.0116,0.0042,85.1,236.89
quantizer,19456,1.0391,0.0116,0.0044,89.2,236.86
quantizer,20480,1.0938,0.0117,0.0046,93.75,239.68
quantizer,21504,1.1485,0.0173,0.0054,66.44,211.7
quantizer,22528,1.2031,0.0115,0.0051,104.44,237.21
quantizer,23552,1.2578,0.0172,0.0054,73.05,233.37
quantizer,24576,1.3125,0.0118,0.0055,111.11,237.34
quantizer,25600,1.3672,0.012,0.0058,114.08,237.71
quantizer,26624,1.4219,0.0123,0.0058,116.02,247.24
quantizer,27648,1.4766,0.0126,0.0062,117.53,238.54
quantizer,28672,1.5313,0.0129,0.0064,118.3,237.67
quantizer,29696,1.586,0.0172,0.0067,92.1,237.85
quantizer,30720,1.6406,0.0136,0.0069,120.52,239.11
quantizer,31744,1.6953,0.014,0.0071,120.84,239.07
quantizer,32768,1.75,0.0143,0.0073,122.25,240.29
