type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0625,0.0003,0.0003,191.84,225.99
ans,2048,0.125,0.0007,0.0005,187.49,249.77
ans,3072,0.1875,0.001,0.0007,196.36,280.91
ans,4096,0.25,0.0012,0.0008,200.7,296.6
ans,5120,0.3125,0.0015,0.001,202.48,311.18
ans,6144,0.375,0.0019,0.0012,193.83,314.82
ans,7168,0.4375,0.0022,0.0013,198.79,325.35
ans,8192,0.5,0.0025,0.0015,200.72,331.72
ans,9216,0.5625,0.0028,0.0017,200.29,332.5
ans,10240,0.625,0.0032,0.0019,197.97,336.55
ans,11264,0.6875,0.0034,0.002,203.37,343.65
ans,12288,0.75,0.0038,0.0022,199.72,340.68
ans,13312,0.8125,0.004,0.0024,201.1,341.85
ans,14336,0.875,0.0043,0.0025,202.78,348.31
ans,15360,0.9375,0.0046,0.0027,202.09,345.35
ans,16384,1.0,0.0049,0.0029,203.55,347.72
ans,17408,1.0625,0.0052,0.003,203.55,349.76
ans,18432,1.125,0.0056,0.0032,202.36,347.4
ans,19456,1.1875,0.0058,0.0034,203.14,346.01
ans,20480,1.25,0.0062,0.0036,202.08,347.06
ans,21504,1.3125,0.0065,0.0038,203.09,349.09
ans,22528,1.375,0.0068,0.0039,203.31,349.23
ans,23552,1.4375,0.0071,0.0041,202.31,350.0
ans,24576,1.5,0.0074,0.0043,203.04,351.15
ans,25600,1.5625,0.0077,0.0044,202.58,351.2
ans,26624,1.625,0.008,0.0046,203.87,352.96
ans,27648,1.6875,0.0084,0.0048,201.97,349.35
ans,28672,1.75,0.0086,0.005,202.68,352.81
ans,29696,1.8125,0.009,0.0052,201.3,351.81
ans,30720,1.875,0.0093,0.0053,202.44,352.38
ans,31744,1.9375,0.0096,0.0055,202.47,351.75
ans,32768,2.0,0.0099,0.0057,202.5,351.61
bitcomp,1024,0.0625,0.0003,0.0003,243.64,198.17
bitcomp,2048,0.125,0.0004,0.0005,282.42,249.79
bitcomp,3072,0.1875,0.0006,0.0007,291.93,271.91
bitcomp,4096,0.25,0.0008,0.0008,306.26,294.31
bitcomp,5120,0.3125,0.001,0.0011,301.19,295.4
bitcomp,6144,0.375,0.0012,0.0012,308.65,305.16
bitcomp,7168,0.4375,0.0014,0.0014,311.79,307.13
bitcomp,8192,0.5,0.0016,0.0016,309.6,310.4
bitcomp,9216,0.5625,0.0019,0.0018,302.42,314.23
bitcomp,10240,0.625,0.002,0.002,312.94,313.16
bitcomp,11264,0.6875,0.0022,0.0022,311.41,316.02
bitcomp,12288,0.75,0.0024,0.0024,311.35,317.17
bitcomp,13312,0.8125,0.0026,0.0025,315.91,324.07
bitcomp,14336,0.875,0.0028,0.0027,314.86,326.64
bitcomp,15360,0.9375,0.003,0.0029,317.27,327.51
bitcomp,16384,1.0,0.0032,0.0031,317.08,324.94
bitcomp,17408,1.0625,0.0034,0.0033,316.69,326.69
bitcomp,18432,1.125,0.0035,0.0034,316.95,326.76
bitcomp,19456,1.1875,0.0037,0.0036,317.33,327.34
bitcomp,20480,1.25,0.0039,0.0038,318.9,328.34
bitcomp,21504,1.3125,0.0041,0.004,317.45,326.59
bitcomp,22528,1.375,0.0043,0.0042,316.89,326.57
bitcomp,23552,1.4375,0.0045,0.0044,317.92,328.84
bitcomp,24576,1.5,0.0047,0.0045,319.35,332.19
bitcomp,25600,1.5625,0.0049,0.0047,318.82,331.69
bitcomp,26624,1.625,0.0051,0.0049,318.03,329.1
bitcomp,27648,1.6875,0.0053,0.0052,319.7,326.95
bitcomp,28672,1.75,0.0055,0.0053,317.6,330.05
bitcomp,29696,1.8125,0.0057,0.0054,320.29,333.04
bitcomp,30720,1.875,0.0059,0.0057,316.88,328.14
bitcomp,31744,1.9375,0.006,0.0058,320.77,331.62
bitcomp,32768,2.0,0.0063,0.006,319.46,332.16
cachegen,1024,0.125,0.0033,0.001,38.05,129.64
cachegen,2048,0.25,0.0032,0.0013,77.21,189.32
cachegen,3072,0.375,0.0036,0.0017,104.9,219.08
cachegen,4096,0.5,0.0041,0.002,122.47,251.56
cachegen,5120,0.625,0.0048,0.0023,129.42,277.34
cachegen,6144,0.75,0.0052,0.0027,144.47,281.21
cachegen,7168,0.875,0.0056,0.0029,156.28,297.11
cachegen,8192,1.0,0.0063,0.0034,157.85,294.99
cachegen,9216,1.125,0.0067,0.0038,167.45,298.47
cachegen,10240,1.25,0.0072,0.0043,174.75,293.42
cachegen,11264,1.375,0.0075,0.0048,184.3,284.45
cachegen,12288,1.5,0.0083,0.0051,180.14,291.79
cachegen,13312,1.625,0.0087,0.0056,186.33,292.21
cachegen,14336,1.75,0.0093,0.006,189.01,292.65
cachegen,15360,1.875,0.0099,0.0062,188.82,301.83
cachegen,16384,2.0,0.0104,0.0066,192.22,301.15
cachegen,17408,2.125,0.0108,0.007,195.98,301.98
cachegen,18432,2.25,0.0115,0.0074,195.82,305.53
cachegen,19456,2.375,0.0121,0.0078,196.48,303.6
cachegen,20480,2.5,0.0124,0.0082,202.36,306.59
cachegen,21504,2.625,0.0128,0.0085,204.62,309.83
cachegen,22528,2.75,0.0133,0.0089,206.89,309.17
cachegen,23552,2.875,0.0138,0.0093,207.73,310.16
cachegen,24576,3.0,0.0142,0.0096,211.72,310.88
cachegen,25600,3.125,0.0147,0.01,212.67,311.44
cachegen,26624,3.25,0.0152,0.0104,213.54,312.56
cachegen,27648,3.375,0.0159,0.0108,212.35,313.37
cachegen,28672,3.5,0.0163,0.0111,215.21,314.86
cachegen,29696,3.625,0.017,0.0115,213.24,315.95
cachegen,30720,3.75,0.0177,0.012,211.74,312.16
cachegen,31744,3.875,0.018,0.0129,215.12,299.87
cachegen,32768,4.0,0.0191,0.0134,209.56,299.51
hadamard,1024,0.125,0.0028,0.0023,45.2,55.44
hadamard,2048,0.25,0.0028,0.0023,88.98,107.83
hadamard,3072,0.375,0.0028,0.0022,133.72,167.53
hadamard,4096,0.5,0.0029,0.0023,173.08,220.39
hadamard,5120,0.625,0.0035,0.0027,179.87,227.43
hadamard,6144,0.75,0.004,0.0032,188.38,236.27
hadamard,7168,0.875,0.0046,0.0036,189.38,243.84
hadamard,8192,1.0,0.0053,0.0041,190.11,245.97
hadamard,9216,1.125,0.0059,0.0044,190.12,254.8
hadamard,10240,1.25,0.0067,0.005,185.76,249.5
hadamard,11264,1.375,0.0075,0.0051,183.63,269.75
hadamard,12288,1.5,0.0079,0.0055,189.48,273.13
hadamard,13312,1.625,0.0084,0.0059,193.92,275.46
hadamard,14336,1.75,0.009,0.0064,194.95,272.58
hadamard,15360,1.875,0.0096,0.0068,195.02,274.66
hadamard,16384,2.0,0.0105,0.0072,189.92,278.31
hadamard,17408,2.125,0.011,0.0077,192.55,276.98
hadamard,18432,2.25,0.0116,0.0081,193.28,277.33
hadamard,19456,2.375,0.0123,0.0086,192.68,277.6
hadamard,20480,2.5,0.0129,0.009,193.09,278.89
hadamard,21504,2.625,0.0137,0.0094,191.37,277.91
hadamard,22528,2.75,0.0145,0.0099,190.08,278.4
hadamard,23552,2.875,0.0153,0.0103,187.47,278.83
hadamard,24576,3.0,0.0161,0.0108,186.72,278.38
hadamard,25600,3.125,0.0168,0.0112,185.9,278.81
hadamard,26624,3.25,0.0176,0.0117,184.54,277.82
hadamard,27648,3.375,0.0185,0.0121,182.23,278.88
hadamard,28672,3.5,0.0194,0.0125,180.64,279.41
