type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.0625,0.0003,0.0003,186.63,206.24
ans,2048,0.125,0.0006,0.0006,220.26,213.58
ans,3072,0.1875,0.0008,0.0008,234.86,227.06
ans,4096,0.25,0.001,0.0011,249.64,235.15
ans,5120,0.3125,0.0013,0.0013,239.26,236.24
ans,6144,0.375,0.0018,0.0015,210.43,245.81
ans,7168,0.4375,0.0023,0.0018,192.57,249.4
ans,8192,0.5,0.0019,0.002,261.44,251.46
ans,9216,0.5625,0.0021,0.0023,264.94,245.28
ans,10240,0.625,0.0027,0.0025,235.72,251.68
ans,11264,0.6875,0.0031,0.0028,220.96,248.63
ans,12288,0.75,0.0036,0.003,206.77,246.15
ans,13312,0.8125,0.004,0.0032,200.85,252.44
ans,14336,0.875,0.0045,0.0035,193.15,249.3
ans,15360,0.9375,0.0039,0.0037,242.9,252.8
ans,16384,1.0,0.0043,0.0039,230.25,253.46
ans,17408,1.0625,0.0052,0.0042,204.73,253.93
ans,18432,1.125,0.0054,0.0045,210.15,249.2
ans,19456,1.1875,0.0058,0.0047,206.3,250.2
ans,20480,1.25,0.0062,0.005,201.24,251.25
ans,21504,1.3125,0.0067,0.0053,196.3,249.93
ans,22528,1.375,0.006,0.0054,228.16,253.11
ans,23552,1.4375,0.007,0.0057,205.97,254.33
ans,24576,1.5,0.007,0.0059,212.95,252.68
ans,25600,1.5625,0.0075,0.0062,207.28,253.3
ans,26624,1.625,0.0079,0.0064,204.78,253.36
ans,27648,1.6875,0.0084,0.0067,200.76,252.69
ans,28672,1.75,0.0089,0.0071,196.69,247.83
ans,29696,1.8125,0.0084,0.0071,216.47,253.59
ans,30720,1.875,0.0088,0.0074,212.45,252.13
ans,31744,1.9375,0.0093,0.0077,209.39,252.41
ans,32768,2.0,0.0099,0.0078,201.87,255.27
bitcomp,1024,0.0625,0.0002,0.0003,287.08,205.15
bitcomp,2048,0.125,0.0004,0.0005,341.5,237.98
bitcomp,3072,0.1875,0.0005,0.0007,378.36,250.19
bitcomp,4096,0.25,0.0006,0.001,387.19,254.84
bitcomp,5120,0.3125,0.0008,0.0012,398.22,262.88
bitcomp,6144,0.375,0.0009,0.0014,402.64,263.79
bitcomp,7168,0.4375,0.0013,0.0017,348.15,262.8
bitcomp,8192,0.5,0.0016,0.0019,309.1,266.33
bitcomp,9216,0.5625,0.0019,0.0021,296.91,269.72
bitcomp,10240,0.625,0.0015,0.0023,412.2,269.38
bitcomp,11264,0.6875,0.0016,0.0026,419.11,268.38
bitcomp,12288,0.75,0.0018,0.0028,409.51,270.73
bitcomp,13312,0.8125,0.0022,0.003,374.9,268.95
bitcomp,14336,0.875,0.0025,0.0033,349.08,268.38
bitcomp,15360,0.9375,0.0028,0.0035,333.84,269.48
bitcomp,16384,1.0,0.0032,0.0037,317.39,269.64
bitcomp,17408,1.0625,0.0034,0.0039,310.49,272.39
bitcomp,18432,1.125,0.0038,0.0042,297.18,270.92
bitcomp,19456,1.1875,0.0041,0.0045,290.1,266.04
bitcomp,20480,1.25,0.0034,0.0046,365.76,268.89
bitcomp,21504,1.3125,0.0036,0.0048,361.16,273.2
bitcomp,22528,1.375,0.0046,0.0051,296.99,272.01
bitcomp,23552,1.4375,0.0044,0.0053,330.37,270.23
bitcomp,24576,1.5,0.0047,0.0055,317.62,270.99
bitcomp,25600,1.5625,0.0045,0.0057,350.45,275.08
bitcomp,26624,1.625,0.0053,0.0059,306.2,274.35
bitcomp,27648,1.6875,0.0056,0.0062,298.79,271.87
bitcomp,28672,1.75,0.0059,0.0065,295.8,270.87
