type,input_length,original_size(GB),prefill_time(s),decode_time(s),prefill_throughput(GB/s),decode_throughput(GB/s)
ans,1024,0.125,0.0006,0.0006,220.02,212.33
ans,1024,0.125,0.0006,0.0006,220.02,212.33
ans,2048,0.25,0.001,0.0011,251.65,238.0
ans,2048,0.25,0.001,0.0011,251.65,238.0
ans,3072,0.375,0.0018,0.0015,210.28,245.1
ans,3072,0.375,0.0018,0.0015,210.28,245.1
ans,4096,0.5,0.0019,0.002,264.69,253.15
ans,4096,0.5,0.0019,0.002,264.69,253.15
ans,5120,0.625,0.0026,0.0025,238.59,253.63
ans,5120,0.625,0.0026,0.0025,238.59,253.63
ans,6144,0.75,0.0035,0.003,212.29,248.6
ans,6144,0.75,0.0035,0.003,212.29,248.6
ans,7168,0.875,0.0045,0.0035,193.6,250.33
ans,7168,0.875,0.0045,0.0035,193.6,250.33
ans,8192,1.0,0.0043,0.0039,231.41,254.07
ans,8192,1.0,0.0043,0.0039,231.41,254.07
ans,9216,1.125,0.0053,0.0045,211.34,249.74
ans,9216,1.125,0.0053,0.0045,211.34,249.74
ans,10240,1.25,0.0062,0.005,200.05,250.95
ans,10240,1.25,0.0062,0.005,200.05,250.95
ans,11264,1.375,0.0061,0.0054,226.85,254.86
ans,11264,1.375,0.0061,0.0054,226.85,254.86
ans,12288,1.5,0.0071,0.0059,212.72,253.71
ans,12288,1.5,0.0071,0.0059,212.72,253.71
ans,13312,1.625,0.008,0.0064,203.1,253.11
ans,13312,1.625,0.008,0.0064,203.1,253.11
ans,14336,1.75,0.0089,0.007,197.09,249.79
ans,14336,1.75,0.0089,0.007,197.09,249.79
ans,15360,1.875,0.0088,0.0074,212.46,252.06
ans,15360,1.875,0.0088,0.0074,212.46,252.06
ans,16384,2.0,0.0096,0.0078,207.44,255.42
ans,16384,2.0,0.0096,0.0078,207.44,255.42
ans,17408,2.125,0.0105,0.0083,201.9,255.23
ans,17408,2.125,0.0105,0.0083,201.9,255.23
ans,18432,2.25,0.0107,0.0089,210.56,251.67
ans,18432,2.25,0.0107,0.0089,210.56,251.67
ans,19456,2.375,0.0114,0.0095,207.54,250.43
ans,19456,2.375,0.0114,0.0095,207.54,250.43
ans,20480,2.5,0.0123,0.0098,202.91,254.84
ans,20480,2.5,0.0123,0.0098,202.91,254.84
ans,21504,2.625,0.0131,0.0103,199.99,254.85
ans,21504,2.625,0.0131,0.0103,199.99,254.85
ans,22528,2.75,0.0132,0.0108,207.77,254.04
ans,22528,2.75,0.0132,0.0108,207.77,254.04
ans,23552,2.875,0.0141,0.0113,203.41,254.17
ans,23552,2.875,0.0141,0.0113,203.41,254.17
ans,24576,3.0,0.015,0.0118,200.05,254.09
ans,24576,3.0,0.015,0.0118,200.05,254.09
ans,25600,3.125,0.0149,0.0123,209.47,254.89
ans,25600,3.125,0.0149,0.0123,209.47,254.89
ans,26624,3.25,0.016,0.0128,203.63,253.93
ans,26624,3.25,0.016,0.0128,203.63,253.93
ans,27648,3.375,0.0168,0.0133,200.43,254.7
ans,27648,3.375,0.0168,0.0133,200.43,254.7
ans,28672,3.5,0.0173,0.014,202.5,250.51
ans,28672,3.5,0.0173,0.014,202.5,250.51
ans,29696,3.625,0.0179,0.0144,202.95,251.86
ans,29696,3.625,0.0179,0.0144,202.95,251.86
ans,30720,3.75,0.0186,0.0148,201.35,253.98
ans,31744,3.875,0.0197,0.0154,196.37,251.87
ans,32768,4.0,0.0195,0.0159,204.82,252.31
bitcomp,1024,0.125,0.0004,0.0005,345.94,242.62
bitcomp,2048,0.25,0.0006,0.001,387.73,258.15
bitcomp,3072,0.375,0.0009,0.0014,410.13,264.02
bitcomp,4096,0.5,0.0016,0.0019,317.97,268.57
bitcomp,5120,0.625,0.0017,0.0024,362.42,264.86
bitcomp,6144,0.75,0.0018,0.0028,419.08,265.67
bitcomp,7168,0.875,0.0025,0.0032,353.62,270.85
bitcomp,8192,1.0,0.0032,0.0037,316.24,269.23
bitcomp,9216,1.125,0.0038,0.0042,293.74,269.58
bitcomp,10240,1.25,0.0034,0.0046,370.68,270.09
bitcomp,11264,1.375,0.004,0.0051,340.8,270.19
bitcomp,12288,1.5,0.0047,0.0056,316.5,268.91
bitcomp,13312,1.625,0.0053,0.006,307.79,272.98
bitcomp,14336,1.75,0.006,0.0065,290.27,268.07
bitcomp,15360,1.875,0.0056,0.0069,334.72,270.91
bitcomp,16384,2.0,0.0062,0.0074,321.22,270.98
bitcomp,17408,2.125,0.0068,0.0078,310.83,271.49
bitcomp,18432,2.25,0.0074,0.0082,302.08,273.24
bitcomp,19456,2.375,0.0081,0.0087,294.27,271.53
bitcomp,20480,2.5,0.0078,0.0092,321.92,272.64
bitcomp,21504,2.625,0.0084,0.0096,313.16,273.71
bitcomp,22528,2.75,0.0091,0.0101,301.28,271.68
bitcomp,23552,2.875,0.0097,0.0105,297.68,272.97
bitcomp,24576,3.0,0.0101,0.0111,298.49,269.76
bitcomp,25600,3.125,0.01,0.0115,312.82,272.79
bitcomp,26624,3.25,0.0106,0.0119,307.48,273.57
bitcomp,27648,3.375,0.0113,0.0124,297.94,272.27
bitcomp,28672,3.5,0.0119,0.0129,294.97,271.64
bitcomp,29696,3.625,0.0116,0.0133,313.3,272.5
bitcomp,30720,3.75,0.0122,0.0138,307.27,271.2
bitcomp,31744,3.875,0.0128,0.0142,303.34,272.82
bitcomp,32768,4.0,0.0135,0.0147,295.77,272.26
cachegen,1024,0.25,0.0083,0.0025,30.2,99.15
cachegen,2048,0.5,0.0085,0.0035,59.14,141.19
cachegen,3072,0.75,0.0103,0.0047,73.15,160.48
cachegen,4096,1.0,0.012,0.0059,83.51,169.08
cachegen,5120,1.25,0.0135,0.0071,92.33,176.89
cachegen,6144,1.5,0.0153,0.0083,97.85,181.33
cachegen,7168,1.75,0.0171,0.0096,102.6,182.72
cachegen,8192,2.0,0.02,0.0108,99.93,184.38
cachegen,9216,2.25,0.0218,0.0123,103.09,182.34
cachegen,10240,2.5,0.0237,0.0139,105.51,179.59
cachegen,11264,2.75,0.0258,0.0157,106.66,174.69
cachegen,12288,3.0,0.0279,0.0173,107.58,173.27
cachegen,13312,3.25,0.0301,0.0189,108.15,172.4
cachegen,14336,3.5,0.0327,0.0203,107.07,172.76
cachegen,15360,3.75,0.0355,0.0216,105.76,173.48
cachegen,16384,4.0,0.0392,0.023,101.95,174.23
cachegen,17408,4.25,0.0429,0.0243,98.98,175.02
cachegen,18432,4.5,0.0467,0.0256,96.28,175.7
cachegen,19456,4.75,0.0503,0.0269,94.5,176.9
cachegen,20480,5.0,0.0534,0.0282,93.66,177.52
cachegen,21504,5.25,0.0562,0.0296,93.48,177.52
cachegen,22528,5.5,0.0591,0.0309,93.12,178.07
cachegen,23552,5.75,0.0615,0.0322,93.53,178.48
cachegen,24576,6.0,0.0638,0.0335,94.1,179.02
cachegen,25600,6.25,0.066,0.0348,94.65,179.49
cachegen,26624,6.5,0.0684,0.0362,95.08,179.79
cachegen,27648,6.75,0.0707,0.0375,95.51,180.17
cachegen,28672,7.0,0.073,0.0389,95.86,179.88
cachegen,29696,7.25,0.0755,0.0401,96.05,180.79
cachegen,30720,7.5,0.0779,0.0414,96.26,181.04
cachegen,31744,7.75,0.0799,0.0426,96.95,182.02
cachegen,32768,8.0,0.0825,0.0441,96.99,181.45
hadamard,1024,0.25,0.0056,0.0045,44.77,55.07
hadamard,2048,0.5,0.0056,0.0046,89.25,109.65
hadamard,3072,0.75,0.0063,0.0047,119.94,158.61
hadamard,4096,1.0,0.0079,0.006,127.27,165.52
hadamard,5120,1.25,0.0095,0.0073,131.26,172.12
hadamard,6144,1.5,0.0112,0.0085,134.05,176.59
hadamard,7168,1.75,0.013,0.0098,134.99,178.55
hadamard,8192,2.0,0.0149,0.0112,134.68,177.83
hadamard,9216,2.25,0.0168,0.0127,134.13,177.73
hadamard,10240,2.5,0.0186,0.0142,134.39,176.44
hadamard,11264,2.75,0.0206,0.0156,133.62,175.77
hadamard,12288,3.0,0.0225,0.0174,133.29,172.84
hadamard,13312,3.25,0.0248,0.0192,131.31,169.15
hadamard,14336,3.5,0.0271,0.021,129.3,166.91
hadamard,15360,3.75,0.0291,0.0227,129.0,165.3
hadamard,16384,4.0,0.0311,0.0244,128.81,164.16
hadamard,17408,4.25,0.0331,0.0259,128.44,164.27
hadamard,18432,4.5,0.035,0.0274,128.62,164.42
hadamard,19456,4.75,0.0368,0.0288,128.95,164.88
hadamard,20480,5.0,0.0387,0.0302,129.24,165.37
hadamard,21504,5.25,0.0404,0.0316,129.83,166.13
hadamard,22528,5.5,0.0424,0.0331,129.86,166.12
hadamard,23552,5.75,0.0443,0.0346,129.92,166.31
hadamard,24576,6.0,0.046,0.0359,130.51,167.12
hadamard,25600,6.25,0.0479,0.0374,130.43,167.18
hadamard,26624,6.5,0.0498,0.0389,130.52,167.18
hadamard,27648,6.75,0.0517,0.0403,130.59,167.43
hadamard,28672,7.0,0.0534,0.0417,131.13,167.99
hadamard,29696,7.25,0.0553,0.0432,131.05,167.97
hadamard,30720,7.5,0.0572,0.0447,131.11,167.9
hadamard,31744,7.75,0.059,0.0461,131.28,168.28
hadamard,32768,8.0,0.061,0.0476,131.24,168.23
quantizer,1024,0.25,0.0166,0.0051,15.03,48.95
quantizer,2048,0.5,0.0165,0.005,30.36,99.39
quantizer,3072,0.75,0.0168,0.0064,44.59,116.59
quantizer,4096,1.0,0.0192,0.0077,52.21,129.67
quantizer,5120,1.25,0.0212,0.009,59.03,138.18
quantizer,6144,1.5,0.0237,0.0103,63.38,145.55
quantizer,7168,1.75,0.0257,0.0115,68.2,152.16
quantizer,8192,2.0,0.0284,0.013,70.37,153.51
